Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Project url,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Attachment,Attachment,Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Affected hardware),Custom field (Affected services),Custom field (Approvals),Custom field (Backout plan),Custom field (Category),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Comment Type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Focus Areas),Custom field (Goals),Custom field (HL7 Resolution),Custom field (Impact),Custom field (Implementation plan),Custom field (Investigation reason),Custom field (Issue color),Custom field (Locked forms),Custom field (Major incident),Custom field (Open forms),Custom field (Operational categorization),Custom field (Pending reason),Custom field (Planned end),Custom field (Planned start),Custom field (Product categorization),Custom field (Project),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Request Type),Custom field (Request language),Custom field (Request participants),Custom field (Responders),Custom field (Root cause),Satisfaction rating,Custom field (Satisfaction date),Custom field (Sentiment),Custom field (Severity),Custom field (Source),Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Test Email-Inhalt),Custom field (Test plan),Custom field (Time to close after resolution),Custom field (Time to done),Custom field (Time to first response),Custom field (Time to resolution),Custom field (Time to resolution),Custom field (Time to review normal change),Custom field (Time to review normal change),Custom field (Total forms),Custom field (Urgency),Custom field (Vote),Custom field (Vulnerability),Custom field (Work category),Custom field (Workaround),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Comment,Comment,Comment,Comment,Status Category,Status Category Changed
Tippfehler in VS-Definition / CS-Definition - VS `mii-vs-onko-mamma-rezeptorstatus-leitlinie` / CS `mii-cs-onko-mamma-rezeptorstatus-leitlinie` ,HDB-704,12683,Task,Open,HDB,HL7 Deutschland Ballotierung,service_desk,Alexander Zautke,602e87d15b63c400680b2a43,,,Medium,,,,Joshua Wiedekopf,6049de15addbcd006bc10e37,Joshua Wiedekopf,6049de15addbcd006bc10e37,02/Oct/25 9:02 AM,02/Oct/25 3:27 PM,,,,0,,"Im CS wird die Canonical {{https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/CodeSystem/mii-cs-onko-mamma-rezeptorstatus}} definiert, im VS wird {{https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/CodeSystem/mii-cs-onko-mamma-rezeptorstatus-leitlinie}} inkludiert.",,thomas.debertshaeuser,712020:54b97f23-f59d-4eeb-b251-06650a9ad372,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1f83ec15,,,,,,Tippfehler,,,,,,,,,,,,,,,,,,,,MII - Modul Onkologie,,,0|i0057j:,Submit feedback for specification improvements,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-02 13:27:26.602,,"02/Oct/25 3:27 PM;712020:54b97f23-f59d-4eeb-b251-06650a9ad372;URL wird hier manuell nochmal gesetzt und überschreibt dadurch die automatisch generierte url aus IG-Canonical +StructureDefinition/id

Angenommen, wird angepasst. 

[https://github.com/medizininformatik-initiative/kerndatensatzmodul-onkologie/issues/223|https://github.com/medizininformatik-initiative/kerndatensatzmodul-onkologie/issues/223|smart-link] ",,,,To Do,02/Oct/25 9:02 AM
Inkonsistente SNOMED CT-Versionen,HDB-703,12682,Task,Open,HDB,HL7 Deutschland Ballotierung,service_desk,Alexander Zautke,602e87d15b63c400680b2a43,,,Medium,,,,Joshua Wiedekopf,6049de15addbcd006bc10e37,Joshua Wiedekopf,6049de15addbcd006bc10e37,02/Oct/25 9:01 AM,02/Oct/25 3:50 PM,,,,0,,Sowohl 20240101 als auch 20250701 wurden verwendet - bitte angleichen auf 20250701.,,thomas.debertshaeuser,712020:54b97f23-f59d-4eeb-b251-06650a9ad372,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6537fa7,,,,,,Ablehnende Kritik,,,,,,,Angenommen mit Modifikationen,,,,,,,,,,,,,MII - Modul Onkologie,,,0|i0057b:,Submit feedback for specification improvements,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-02 13:50:33.54,,"02/Oct/25 3:50 PM;712020:54b97f23-f59d-4eeb-b251-06650a9ad372;Angenommen mit Modifikationen: 

Für die Profile stimme ich zu. Ich habe natürlich die Versionen der alten Kodes nicht alle angepasst. 

Für die oBDS-ConceptMaps repräsentiert das den Stand, auf dem wir das manuell gemappt haben. Das müsste man sorgfältig reviewen, bevor man das anpasst. Machen wir sicherlich auch nochmal, aber nicht jetzt. 

 Das ist insgesamt eine interessante Fragestellung, wie man sicher nachhalten und kuratieren kann, ob es mittlerweile in SNOMED andere / bessere Concepts gibt

[https://github.com/medizininformatik-initiative/kerndatensatzmodul-onkologie/issues/224|https://github.com/medizininformatik-initiative/kerndatensatzmodul-onkologie/issues/224|smart-link] ",,,,To Do,02/Oct/25 9:01 AM
Falsche Verwendung von SNOMED CT Versions-URIs - CM mii-cm-onko-krk-stoma-obds-sct (ggf. weitere),HDB-702,12681,Task,Open,HDB,HL7 Deutschland Ballotierung,service_desk,Alexander Zautke,602e87d15b63c400680b2a43,,,Medium,,,,Joshua Wiedekopf,6049de15addbcd006bc10e37,Joshua Wiedekopf,6049de15addbcd006bc10e37,02/Oct/25 9:01 AM,02/Oct/25 3:53 PM,,,,0,,"Mindestens in der CM {{mii-cm-onko-krk-stoma-obds-sct}}, evtl. auch in weiteren, wurde die Versions-URI-Syntax von SCT nicht korrekt verwendet. Hier ist {{group.target = ttp://snomed.info/sct/900000000000207008/version/20250701}}. Bei SNOMED CT ist die Version des CS IMMER {{http://snomed.info/sct}}. Die versionierte URI ist die Versionsangabe und gehört damit in {{group.targetVersion}} .",,thomas.debertshaeuser,712020:54b97f23-f59d-4eeb-b251-06650a9ad372,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4ba8e635,,,,,,Ablehnende Kritik,,,,,,,Angenommen mit Modifikationen,,,,,,,,,,,,,MII - Modul Onkologie,,,0|i00573:,Submit feedback for specification improvements,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-02 13:52:45.559,,"02/Oct/25 3:52 PM;712020:54b97f23-f59d-4eeb-b251-06650a9ad372;Angenommen. Betrifft vsl. alle CM in den neuen Organspezifischen Modulen. 

[https://github.com/medizininformatik-initiative/kerndatensatzmodul-onkologie/issues/225|https://github.com/medizininformatik-initiative/kerndatensatzmodul-onkologie/issues/225|smart-link] ",,,,To Do,02/Oct/25 9:01 AM
Description in mii-pr-onko-diagnose-primaertumor,HDB-701,12680,Task,Open,HDB,HL7 Deutschland Ballotierung,service_desk,Alexander Zautke,602e87d15b63c400680b2a43,,,Medium,,,,Joshua Wiedekopf,6049de15addbcd006bc10e37,Joshua Wiedekopf,6049de15addbcd006bc10e37,02/Oct/25 8:57 AM,02/Oct/25 4:00 PM,,,,0,,"Das Profil {{mii-pr-onko-diagnose-primaertumor}} basiert auf KDS Diagnose, und das steht auch in {{baseDefinition}} so drin. Aber ein Hinweis darauf in {{description}} ist sicher nicht verkehrt 😉",,thomas.debertshaeuser,712020:54b97f23-f59d-4eeb-b251-06650a9ad372,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@12cb592e,,,,,,Vorschlag,,,,,,,Angenommen,,,,,,,,,,,,,MII - Modul Onkologie,,,0|i0056v:,Submit feedback for specification improvements,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-02 14:00:26.205,,"02/Oct/25 4:00 PM;712020:54b97f23-f59d-4eeb-b251-06650a9ad372;[https://hl7germany.atlassian.net/jira/servicedesk/projects/HDB/queues/custom/43/HDB-701|https://hl7germany.atlassian.net/jira/servicedesk/projects/HDB/queues/custom/43/HDB-701|smart-link] 

Angenommen",,,,To Do,02/Oct/25 8:57 AM
"Profil ""Anzahl befallene Sentinel-Lymphknoten"" und weitere - UCUM in Observation.valueQuantity.code",HDB-700,12679,Task,Work in progress,HDB,HL7 Deutschland Ballotierung,service_desk,Alexander Zautke,602e87d15b63c400680b2a43,,,Medium,,,,Joshua Wiedekopf,6049de15addbcd006bc10e37,Joshua Wiedekopf,6049de15addbcd006bc10e37,02/Oct/25 8:56 AM,20/Oct/25 10:13 AM,,,,0,,"Der Hinweistext von {{Observation.value[x].code}} ist: “The mandatory system is UCUM.“. Ich finde diese Angabe irritierend, weil zwar über das Patten eine Einheit ({{1}}) angegeben ist, aber ja nicht durch die Implementierer eine andere Einheit gewählt werden soll. Auch bin ich nicht sicher, ob {{valueQuantity}} sinnvoller ist als {{valueInteger}}. Bei Beibehaltung von {{valueQuantity}} ist ein Hinweistext à la “This quantity must be mandatorily coded with the UCUM code {{1}}.” jedenfalls sicher nicht verkehrt.",,thomas.debertshaeuser,712020:54b97f23-f59d-4eeb-b251-06650a9ad372,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4e107663,,,,,,Vorschlag,,,,,,,Angenommen mit Modifikationen,,,,,,,,,,,,,MII - Modul Onkologie,,,0|i0056n:,Submit feedback for specification improvements,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-02 14:07:32.614,,"02/Oct/25 4:07 PM;712020:54b97f23-f59d-4eeb-b251-06650a9ad372;Quantity haben wir gemacht, um potentiell mit dem Patho-Report konform zu gehen. 

[https://www.medizininformatik-initiative.de/Kerndatensatz/Modul_Pathologie_Befund/MII-IG-KDS-Modul-Pathologie-Befund-TechnischeImplementierung-FHIRProfile-MII-PR-Patho-Finding.html|https://www.medizininformatik-initiative.de/Kerndatensatz/Modul_Pathologie_Befund/MII-IG-KDS-Modul-Pathologie-Befund-TechnischeImplementierung-FHIRProfile-MII-PR-Patho-Finding.html|smart-link] 

Optimalerweise kommen diese Datenpunkte irgendwann strukturiert aus dem Pathoreport

Ich kann hier nochmal ein CodeReview der Lymphknotenprofile machen, die sind relativ früh im Prozess 2024 entstanden. 

Update: Ich schlage vor, den Kommentar auf valueQuantity.code rauszulöschen und mit dem Kommentar “This quantity must be mandatorily coded with the UCUM code {{1}}“ auf valueQuantity zu ersetzen

[https://github.com/medizininformatik-initiative/kerndatensatzmodul-onkologie/issues/227|https://github.com/medizininformatik-initiative/kerndatensatzmodul-onkologie/issues/227|smart-link] ","02/Oct/25 4:19 PM;6049de15addbcd006bc10e37;Gibt Sinn, Vorschlag finde ich gut! 👍",,,In Progress,20/Oct/25 10:13 AM
Beschreibungen in Extensions,HDB-699,12678,Task,Work in progress,HDB,HL7 Deutschland Ballotierung,service_desk,Alexander Zautke,602e87d15b63c400680b2a43,,,Medium,,,,Joshua Wiedekopf,6049de15addbcd006bc10e37,Joshua Wiedekopf,6049de15addbcd006bc10e37,02/Oct/25 8:53 AM,20/Oct/25 10:15 AM,,,,0,,"Die Beschreibungstexte in den Extensions für die TNM-Suffixe sind nicht gut verständlich, wenn man sich nicht gut mit TNM auskennt. Eventuell ist das aber kein Problem, weil Implementierende sich schon gut damit auszukennen haben 😉 Ansonsten würde ich mich immer für “mehr Text in der StructureDefinition” aussprechen, weil der IG sicher nicht immer komplett gelesen werden.",,thomas.debertshaeuser,712020:54b97f23-f59d-4eeb-b251-06650a9ad372,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@7527cc6f,,,,,,Vorschlag,,,,,,,Angenommen,,,,,,,,,,,,,MII - Modul Onkologie,,,0|i0056f:,Submit feedback for specification improvements,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-02 14:25:59.424,,"02/Oct/25 4:25 PM;712020:54b97f23-f59d-4eeb-b251-06650a9ad372;Guter Punkt, hatte letztens erst Rückmeldung von den FDPG-Leuten, die sich damit nicht auskannten. 

Ich wollte eigentlich auch nochmal ein extensive TNM example einbauen, habe es aber aus Zeitgründen nicht mehr geschafft. 

[https://github.com/medizininformatik-initiative/kerndatensatzmodul-onkologie/issues/189|https://github.com/medizininformatik-initiative/kerndatensatzmodul-onkologie/issues/189|smart-link] 

[https://github.com/medizininformatik-initiative/kerndatensatzmodul-onkologie/issues/234|https://github.com/medizininformatik-initiative/kerndatensatzmodul-onkologie/issues/234|smart-link] ",,,,In Progress,20/Oct/25 10:15 AM
package.json - Dependencies auf 2025-Versionen,HDB-698,12677,Task,Done,HDB,HL7 Deutschland Ballotierung,service_desk,Alexander Zautke,602e87d15b63c400680b2a43,,,Medium,Done,,,Joshua Wiedekopf,6049de15addbcd006bc10e37,Joshua Wiedekopf,6049de15addbcd006bc10e37,02/Oct/25 8:51 AM,20/Oct/25 10:16 AM,,20/Oct/25 10:16 AM,,0,,"In der package.json sind aktuell noch alle Abhängigkeiten zu den 2025-Versionen. Weil aber ja insbesondere MolGen und Biobank auch in der Ballotierung sind, kann es hier zu Verwirrungen kommen - mit welchen Versionen der KDS-Modulen soll das Onko-Modul konkret verwendet werden?",,thomas.debertshaeuser,712020:54b97f23-f59d-4eeb-b251-06650a9ad372,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@32b26083,,,,,,Rückfrage,,,,,,,Nicht angenommen,,,,,,,,,,,,,MII - Modul Onkologie,,,0|i00567:,Submit feedback for specification improvements,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-02 14:28:35.15,1_*:*_1_*:*_1560281502_*|*_10002_*:*_1_*:*_0,"02/Oct/25 4:28 PM;712020:54b97f23-f59d-4eeb-b251-06650a9ad372;Das ist ein Design Flaw des Release-Plans: Onko ist eben zuerst in die Kommentierung gegangen. 

Die Dependencies müssen für die finale Version entlang der Vererbungskette gebaut werden, also erst die Basismodule, dann alles andere in Vererbungsreinfolge ","02/Oct/25 4:32 PM;6049de15addbcd006bc10e37;Ja, das war gerade in der AG IOP auch kurz Thema. Ich wusste tatsächlich auch nicht, dass die Basismodule ohne Ballotierung aktualisiert werden sollen. Aber wenn ihr das auf dem Schirm habt einfach schließen:)",,,Done,20/Oct/25 10:16 AM
sourceUri / targetUri TNM-CMs,HDB-697,12676,Task,Waiting for Feedback,HDB,HL7 Deutschland Ballotierung,service_desk,Alexander Zautke,602e87d15b63c400680b2a43,,,Medium,,,,Joshua Wiedekopf,6049de15addbcd006bc10e37,Joshua Wiedekopf,6049de15addbcd006bc10e37,02/Oct/25 8:49 AM,21/Oct/25 11:31 AM,,,,0,,"In den CMs für TNM wurde keine {{sourceUri}} / {{targetUri}} angegeben, die könnte vermutlich beim Ziel sogar auf ein relativ enges VS (via impliziter URI {{http://snomed.info/sct?fhir_vs=isa/254292007}} oder evtl. mit einem passenderem Kind-Konzept) eingeschränkt werden.",,thomas.debertshaeuser,712020:54b97f23-f59d-4eeb-b251-06650a9ad372,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1ff1257d,,,,,,Vorschlag,,,,,,,,,,,,,,,,,,,,MII - Modul Onkologie,,,0|i0055z:,Submit feedback for specification improvements,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-02 14:30:06.85,,"02/Oct/25 4:30 PM;712020:54b97f23-f59d-4eeb-b251-06650a9ad372;Würde eher das normale SNOMED hinzufügen - Ziel des Mappings war ja ein Mapping des oBDS (in Repräsentation als FHIR MI Onkologie) auf SNOMED. 

Angenommen.

[https://github.com/medizininformatik-initiative/kerndatensatzmodul-onkologie/issues/228|https://github.com/medizininformatik-initiative/kerndatensatzmodul-onkologie/issues/228|smart-link] ","20/Oct/25 10:18 AM;712020:54b97f23-f59d-4eeb-b251-06650a9ad372;Passt das für dich, wenn ich den allgemeinen SNOMED-VS-Code einfüge? 
Den Ansatz mit den is-a-ValueSets finde ich gut, aber da wir das Mapping nicht wirklich normativ abgestimmt haben, würde ich damit noch warten. ","21/Oct/25 11:31 AM;6049de15addbcd006bc10e37;Ja, klar, das war nur ein pragmatischer Vorschlag, aber die Variante ist noch pragmatischer 😉",,To Do,02/Oct/25 8:49 AM
ConceptMap sourceUri / targetUri,HDB-696,12675,Task,Open,HDB,HL7 Deutschland Ballotierung,service_desk,Alexander Zautke,602e87d15b63c400680b2a43,,,Medium,,,,Joshua Wiedekopf,6049de15addbcd006bc10e37,Joshua Wiedekopf,6049de15addbcd006bc10e37,02/Oct/25 8:45 AM,02/Oct/25 4:43 PM,,,,0,,"{{sourceUri}} und {{targetUri}} verweisen auf ValueSets. Im Modul wird hier meist kein VS hinterlegt, sondern entweder nicht existierende Canonicals ({{https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/}}) oder (versionierte) CS-Versionen, z.B. {{http://snomed.info/sct/900000000000207008/version/20240401}}.

Es sollte als sourceUri die VS-URI des relevanten oBDS-VS verwendet werden, als Target bietet sich {{http://snomed.info/sct?fhir_vs}} an, das sind dann zwar alle SNOMED CT-Konzepte, was den Scope des Mapping nicht gut umreißt, aber es wäre wenigstens korrekt 😉",,thomas.debertshaeuser,712020:54b97f23-f59d-4eeb-b251-06650a9ad372,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4841da77,,,,,,Ablehnende Kritik,,,,,,,,,,,,,,,,,,,,MII - Modul Onkologie,,,0|i0055r:,Submit feedback for specification improvements,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-02 14:43:07.351,,"02/Oct/25 4:43 PM;712020:54b97f23-f59d-4eeb-b251-06650a9ad372;Hmm, wir hatten da ja schonmal ein Update gemacht, um die Richtige Version zu hinterlegen. Auf eine bestimmte Version referenzieren kann man dann nur auf der Textsupur?

Und was wäre denn ein korrektes “oBDS-VS”? Es gibt hier ja keine offiziellen. ",,,,To Do,02/Oct/25 8:45 AM
Erstdiagnose Evidenz: List - Zweck und Beispiele nennen,HDB-695,12645,Task,Work in progress,HDB,HL7 Deutschland Ballotierung,service_desk,Alexander Zautke,602e87d15b63c400680b2a43,,,Medium,,,,Liudmila Lysyakova,60f180834257a90070d85dd3,Liudmila Lysyakova,60f180834257a90070d85dd3,01/Oct/25 1:19 PM,20/Oct/25 10:19 AM,,,,0,,"Mir ist nicht ganz klar, warum man eine extra Liste braucht wenn man die Kardinalität von Condition.evidence bei 0..* (oder besser 1..*) lassen kann und eben mehrere Befunde mit References eingeben kann. Außerdem sind solche Evidenzen nicht nur für Erstdiagnosestellung relevant, sondern auch für Verlaufskontrollen. Eine genauere Beschreibung des Zwecks und ein paar Beispiele im IG wären wünschenswert. ",,thomas.debertshaeuser,712020:54b97f23-f59d-4eeb-b251-06650a9ad372,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@32f9291c,,,,,,Rückfrage,,,,,,,,,,,,,,,,,,,,MII - Modul Onkologie,,,0|i0055j:,Submit feedback for specification improvements,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-02 14:51:12.842,,"02/Oct/25 4:51 PM;712020:54b97f23-f59d-4eeb-b251-06650a9ad372;Ich kann gern Beispiele ergänzen, ich bin mit dem Profil auch nicht 100% zufrieden, aber da wir die Datenpunkte exakt nachhalten müssen, um komplette patientenverläufe nachzubilden, war das die naheliegendste Lösung. 

Examples upcoming

[https://github.com/medizininformatik-initiative/kerndatensatzmodul-onkologie/issues/229|https://github.com/medizininformatik-initiative/kerndatensatzmodul-onkologie/issues/229|smart-link] ",,,,In Progress,20/Oct/25 10:19 AM
Profil Diagnose_Primaertumor - Extension Feststellungsdatum (asserted.Date),HDB-694,12644,Task,Waiting for Feedback,HDB,HL7 Deutschland Ballotierung,service_desk,Alexander Zautke,602e87d15b63c400680b2a43,,,Medium,,,,Liudmila Lysyakova,60f180834257a90070d85dd3,Liudmila Lysyakova,60f180834257a90070d85dd3,01/Oct/25 12:58 PM,29/Oct/25 12:48 PM,,,,0,,"Ist das Feststellungsdatum im oBDS das gleiche wie das Datum der Diagnosesicherung? Ich vermute ja, es wäre aber gut, die Frage mit Tumordokumentaren abzustimmen. Falls tatsächlich ja: Meistens wird eine onkologische Diagnose durch eine histologische Untersuchung gesichert, sodass das Feststellungsdatum dem Datum der Untersuchung gleicht. Bin gespannt auf eine Rückmeldung dazu! 🙂  ",,thomas.debertshaeuser,712020:54b97f23-f59d-4eeb-b251-06650a9ad372,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4f8f364c,,,,,,Rückfrage,,,,,,,,,,,,,,,,,,,,MII - Modul Onkologie,,,0|i0055b:,Submit feedback for specification improvements,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-02 15:42:35.647,,"02/Oct/25 5:42 PM;712020:54b97f23-f59d-4eeb-b251-06650a9ad372;Laut der des Manualplus der Tumordokumentation ist der Datenpunkt wie folgt definiert: 

{quote}Anzugeben ist das Datum der Erstdiagnose, also der Zeitpunkt, an dem der Tumor erstmals hinreichend sicher klinisch oder histologisch festgestellt wurde. (Es handelt sich dabei nicht um das Untersuchungsdatum im Verlauf einer Erkrankung und auch nicht um das Diagnosedatum eines Rezidivs). Ab wann eine Diagnose als hinreichend klinisch gesichert gilt, liegt im Ermessen des behandelnden Arztes bzw. der behandelnden Ärztin. Verdachtsdiagnosen sind nicht zu melden. Bei histologisch gesicherten Diagnosen ist der Tag der Entnahme (z. B. Biopsie oder Operation) datumsgebend.

Falls das Diagnosedatum nicht in der Patientenakte dokumentiert ist, soll es näherungsweise mit Hilfe der [+ENCR-Empfehlung zur Festlegung des Inzidenzdatums+|https://encr.eu/sites/default/files/Recommendations/ENCR%20Recommendation%20DOI_Mar2022_DE_2022-11-29.pdf] von 2022 ermittelt werden. Diese Empfehlung gibt Richtlinien vor, wie das Inzidenzdatum in solchen Fällen festgelegt werden kann, um eine möglichst präzise Erfassung zu gewährleisten [3].{quote}

[https://plattform65c.atlassian.net/wiki/spaces/Dokumentat/pages/75366552/Tumorzuordnung|https://plattform65c.atlassian.net/wiki/spaces/Dokumentat/pages/75366552/Tumorzuordnung|smart-link] 

Es kann also auch eine klinische Diagnose sein. Ob sich da alle dran halten, weiß ich nicht. 



Hintergrund ist, dass in den Krebsregistern Meldung von verschiedenen Krankenhäusern und niedergelassen Ärzten und Pathologielaboren gemacht werden, und die werden im Landeskrebsregister über den Tumor gematcht (ein PAtient kann im Laufe seines Lebens ja verschiedene Tumorerkrankungen haben - für die akute Behandlung und einzelne Studien ist das egal, bei den Tumorregistern ist die Zuordnung der Datenpuntke aber wichtig). 

Das schwierige ist, dass man dadurch unterschiedliche Diagnosezeitpunkte zu unterschiedlichen Zeitpunkten hat. 

In der Praxis heißt das, dass man entweder: 

* Die _history der Diagnose sauber abbilden muss, um den diagnostischen Prozess darzurstellen, oder
* jeden einzelnen diagnostischen Step als Condition mit verificationStatus und Feststellungsdatum abbildet und über z.B: extension[condition-related] verknüpft werden können, oder
* das Problem ignoriert

Bis jetzt gibt es nur theoretische Überlegungen dazu, von der Datennutzung macht das momentan noch keine Probleme","20/Oct/25 10:19 AM;712020:54b97f23-f59d-4eeb-b251-06650a9ad372;[~accountid:60f180834257a90070d85dd3] 

Ist die Frage damit geklärt?","29/Oct/25 12:48 PM;60f180834257a90070d85dd3;Stimmt, Tag der Probenentnahme bei histologisch gesicherten Diagnosen! Die Frage ist geklärt, danke! 

Dadurch, dass Informationen über einzelne Tumore vorliegen, könnten klinische Fehler wie  z.B. Überdosierung passieren. “Die _history der Diagnose sauber abbilden…” klingt nachhaltiger. ",,To Do,01/Oct/25 12:58 PM
Profile Diagnose_Primaertumor - ICDO3M in Condition.code statt Extension,HDB-693,12643,Task,Done,HDB,HL7 Deutschland Ballotierung,service_desk,Alexander Zautke,602e87d15b63c400680b2a43,,,Medium,Won't Do,,,Liudmila Lysyakova,60f180834257a90070d85dd3,Liudmila Lysyakova,60f180834257a90070d85dd3,01/Oct/25 12:44 PM,20/Oct/25 10:20 AM,,20/Oct/25 10:20 AM,,0,,"Die ICD-O Kodierung ist sehr wichtig. Mir ist unklar, warum dafür eine Extension notwendig ist, wenn ICD-O-M Codes eigentlich die Diagnosecodes in Onkologie sind und werden zusätzlich zu ICD-GM Codes verwendet, weil sie onkologische Erkrankungen genauer nennen. Aus diesem Grund fände ich es passender, die ICD-O Codes als zusätzlicher Slice unter Condition.code zu modellieren.

",,thomas.debertshaeuser,712020:54b97f23-f59d-4eeb-b251-06650a9ad372,,,,,,,,,01/Oct/25 12:44 PM;60f180834257a90070d85dd3;image-20251001-104401.png;https://hl7germany.atlassian.net/rest/api/3/attachment/content/10480,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5e8cdee6,,,,,,Vorschlag,,,,,,,Nicht überzeugend,,,,,,,,,,,,,MII - Modul Onkologie,,,0|i00553:,Submit feedback for specification improvements,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-02 15:55:16.486,1_*:*_1_*:*_1632983257_*|*_10002_*:*_1_*:*_0,01/Oct/25 12:44 PM;60f180834257a90070d85dd3;!image-20251001-104401.png|thumbnail!,"02/Oct/25 5:55 PM;712020:54b97f23-f59d-4eeb-b251-06650a9ad372;Das war in der ursprünglichen Version so, das wurde aber angepasst. 

Ein Condition.code codiert für die gesamte Erkrankung. Es können verschiedene Kodierungen hinterlegt werden, (ICD-10 GM-Diagnosecodes, SNOMEDCT, etc. ) - diese sollen aber das gleiche Konzept in ähnlicher Granularität darstellen. 

Ein ICD-O Morphologiecode charakterisiert EIN Tumormerkmal, nämlich die histologische Zusammensetzung des Tumorgewebes. Ein ICD-O Topographiecode kodiert für den Ort. Das sind inhaltlich andere Konzepte als Condition/Krankheit/Diagnose. Aus Datenmodellierungssicht könnte man theoretisch auch eine Observation draus machen - dann passen die auch angemessen in einen Patho-Report. 

Diese Designentscheidung haben wir aus mCODE übernommen, die das seit Version 1 getrennt haben. 

[https://hl7.org/fhir/us/mcode/STU1/ValueSet-mcode-primary-or-uncertain-behavior-cancer-disorder-vs.html|https://hl7.org/fhir/us/mcode/STU1/ValueSet-mcode-primary-or-uncertain-behavior-cancer-disorder-vs.html|smart-link] 

Motion: Nicht überzeugend",,,Done,20/Oct/25 10:20 AM
