URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
http://hl7.org/fhir/ValueSet/adverse-event-type,4.0.1,draft,"2.16.840.1.113883.4.642.3.835",SNOMEDCTClinicalFindings,SNOMED CT Clinical Findings,"This value set includes all SNOMED CT Clinical Findings.","StructureDefinition/mii-pr-onko-nebenwirkung-adverse-event","SCT"
http://hl7.org/fhir/ValueSet/approach-site-codes,4.0.1,draft,"2.16.840.1.113883.4.642.3.346",SNOMEDCTAnatomicalStructureForAdministrationSiteCodes,SNOMED CT Anatomical Structure for Administration Site Codes,"This value set includes Anatomical Structure codes from SNOMED CT - provided as an exemplar.","StructureDefinition/mii-pr-onko-systemische-therapie-medikation,StructureDefinition/mii-pr-onko-therapieempfehlung-medikation","SCT"
http://hl7.org/fhir/ValueSet/body-site,4.0.1,draft,"2.16.840.1.113883.4.642.3.141",SNOMEDCTBodyStructures,SNOMED CT Body Structures,"This value set includes all codes from [SNOMED CT](http://snomed.info/sct) where concept is-a 442083009 (Anatomical or acquired body site (body structure)).","StructureDefinition/mii-pr-onko-melanom-ulzeration,StructureDefinition/mii-pr-onko-prostate-psa,StructureDefinition/mii-pr-onko-mamma-operation,StructureDefinition/mii-pr-onko-allgemeiner-leistungszustand-ecog,StructureDefinition/mii-pr-onko-prostata-operation,StructureDefinition/mii-pr-onko-prostate-gleason-grade-group,StructureDefinition/mii-pr-onko-specimen,StructureDefinition/mii-pr-onko-anzahl-befallene-lymphknoten,StructureDefinition/mii-pr-onko-melanom-breslow-tiefe,StructureDefinition/mii-pr-onko-systemische-therapie,StructureDefinition/mii-pr-onko-tnm-a-symbol,StructureDefinition/mii-pr-onko-anzahl-befallene-sentinel-lymphknoten,StructureDefinition/mii-pr-onko-operation,StructureDefinition/mii-pr-onko-tnm-m-kategorie,StructureDefinition/mii-pr-onko-mamma-rezeptorstatus-progesteron,StructureDefinition/mii-pr-onko-krk-stoma-markierung,StructureDefinition/mii-pr-onko-mamma-praeoperative-markierung,StructureDefinition/mii-pr-onko-mamma-sozialdienst,StructureDefinition/mii-pr-onko-krk-abstand-aboral,StructureDefinition/mii-pr-onko-krk-abstand-circumferelle-resektionsebene,StructureDefinition/mii-pr-onko-tnm-pn-kategorie,StructureDefinition/mii-pr-onko-krk-abstand-anokutan,StructureDefinition/mii-pr-onko-asa-klassifikation,StructureDefinition/mii-pr-onko-krk-anastomoseninsuffizienz,StructureDefinition/mii-pr-onko-tnm-t-kategorie,StructureDefinition/mii-pr-onko-melanom-ldh,StructureDefinition/mii-pr-onko-tnm-n-kategorie,StructureDefinition/mii-pr-onko-krk-mrt-mesorektale-faszie,StructureDefinition/mii-pr-onko-prostate-clavien-dindo,StructureDefinition/mii-pr-onko-tod,StructureDefinition/mii-pr-onko-mamma-menopause-status,StructureDefinition/mii-pr-onko-krk-specimen,StructureDefinition/mii-pr-onko-studienteilnahme,StructureDefinition/mii-pr-onko-krk-operation,StructureDefinition/mii-pr-onko-diagnose-primaertumor,StructureDefinition/mii-pr-onko-mamma-her2neu-status,StructureDefinition/mii-pr-onko-genetische-variante,StructureDefinition/mii-pr-onko-therapieempfehlung-operation,StructureDefinition/mii-pr-onko-verlauf,StructureDefinition/mii-pr-onko-tnm-y-symbol,StructureDefinition/mii-pr-onko-fernmetastasen,StructureDefinition/mii-pr-onko-tnm-s-kategorie,StructureDefinition/mii-pr-onko-tnm-klassifikation,StructureDefinition/mii-pr-onko-prostate-ca-befall-stanze,StructureDefinition/mii-pr-onko-weitere-klassifikationen,StructureDefinition/mii-pr-onko-prostate-gleason-patterns,StructureDefinition/mii-pr-onko-tnm-r-symbol,StructureDefinition/mii-pr-onko-anzahl-untersuchte-lymphknoten,StructureDefinition/mii-pr-onko-melanom-sicherheitsabstand,StructureDefinition/mii-pr-onko-tnm-m-symbol,StructureDefinition/mii-pr-onko-allgemeiner-leistungszustand-karnofsky,StructureDefinition/mii-pr-onko-strahlentherapie,StructureDefinition/mii-pr-onko-prostate-gleason-score-gesamt,StructureDefinition/mii-pr-onko-fruehere-tumorerkrankung,StructureDefinition/mii-pr-onko-tnm-klassifikation-synthetisiert,StructureDefinition/mii-pr-onko-grading,StructureDefinition/mii-pr-onko-histologie-icdo3,StructureDefinition/mii-pr-onko-tumorgroesse,StructureDefinition/mii-pr-onko-residualstatus,StructureDefinition/mii-pr-onko-mamma-rezeptorstatus-estrogen,StructureDefinition/mii-pr-onko-tnm-l-kategorie,StructureDefinition/mii-pr-onko-prostate-anzahl-positive-stanzen,StructureDefinition/mii-pr-onko-prostate-anzahl-stanzen,StructureDefinition/mii-pr-onko-melanom-exzision,StructureDefinition/mii-pr-onko-anzahl-untersuchte-sentinel-lymphknoten,StructureDefinition/mii-pr-onko-tnm-v-kategorie","SCT"
http://hl7.org/fhir/ValueSet/care-plan-activity-kind,4.0.1,draft,"2.16.840.1.113883.4.642.3.145",CarePlanActivityKind,Care Plan Activity Kind,"Resource types defined as part of FHIR that can be represented as in-line definitions of a care plan activity.","StructureDefinition/mii-pr-onko-tumorkonferenz","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/care-plan-activity-outcome,4.0.1,draft,"2.16.840.1.113883.4.642.3.149",CarePlanActivityOutcome,Care Plan Activity Outcome,"Example codes indicating the outcome of a care plan activity. Note that these are in no way complete and might not even be appropriate for some uses.","StructureDefinition/mii-pr-onko-tumorkonferenz","SCT"
http://hl7.org/fhir/ValueSet/care-plan-activity-status,4.0.1,draft,"2.16.840.1.113883.4.642.3.146",CarePlanActivityStatus,CarePlanActivityStatus,"Codes that reflect the current state of a care plan activity within its overall life cycle.","StructureDefinition/mii-pr-onko-tumorkonferenz","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/care-plan-category,4.0.1,draft,"2.16.840.1.113883.4.642.3.148",CarePlanCategory,Care Plan Category,"Example codes indicating the category a care plan falls within.  Note that these are in no way complete and might not even be appropriate for some uses.","StructureDefinition/mii-pr-onko-tumorkonferenz","SCT"
http://hl7.org/fhir/ValueSet/care-plan-intent,4.0.1,draft,"2.16.840.1.113883.4.642.3.150",CarePlanIntent,Care Plan Intent,"Codes indicating the degree of authority/intentionality associated with a care plan.","StructureDefinition/mii-pr-onko-tumorkonferenz","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/clinical-findings,4.0.1,draft,"2.16.840.1.113883.4.642.3.232",SNOMEDCTClinicalFindings,SNOMED CT Clinical Findings,"This value set includes all the ""Clinical finding"" [SNOMED CT](http://snomed.info/sct) codes - concepts where concept is-a 404684003 (Clinical finding (finding)).","StructureDefinition/mii-pr-onko-tumorkonferenz,StructureDefinition/mii-pr-onko-befund","SCT"
http://hl7.org/fhir/ValueSet/common-tags,4.0.1,draft,"2.16.840.1.113883.4.642.3.79",CommonTags,Common Tags,"Common Tag Codes defined by FHIR project","StructureDefinition/mii-pr-onko-melanom-ulzeration,StructureDefinition/mii-pr-onko-prostate-psa,StructureDefinition/mii-pr-onko-mamma-operation,StructureDefinition/mii-pr-onko-allgemeiner-leistungszustand-ecog,StructureDefinition/mii-pr-onko-prostata-operation,StructureDefinition/mii-pr-onko-prostate-gleason-grade-group,StructureDefinition/mii-pr-onko-specimen,StructureDefinition/mii-pr-onko-anzahl-befallene-lymphknoten,StructureDefinition/mii-pr-onko-melanom-breslow-tiefe,StructureDefinition/mii-pr-onko-systemische-therapie,StructureDefinition/mii-pr-onko-tnm-a-symbol,StructureDefinition/mii-pr-onko-anzahl-befallene-sentinel-lymphknoten,StructureDefinition/mii-pr-onko-operation,StructureDefinition/mii-pr-onko-strahlentherapie-bestrahlung-nuklearmedizin,StructureDefinition/mii-pr-onko-tnm-m-kategorie,StructureDefinition/mii-pr-onko-mamma-rezeptorstatus-progesteron,StructureDefinition/mii-pr-onko-krk-stoma-markierung,StructureDefinition/mii-pr-onko-mamma-praeoperative-markierung,StructureDefinition/mii-pr-onko-mamma-sozialdienst,StructureDefinition/mii-pr-onko-krk-abstand-aboral,StructureDefinition/mii-pr-onko-systemische-therapie-medikation,StructureDefinition/mii-pr-onko-krk-abstand-circumferelle-resektionsebene,StructureDefinition/mii-pr-onko-tnm-pn-kategorie,StructureDefinition/mii-pr-onko-krk-abstand-anokutan,StructureDefinition/mii-pr-onko-tumorkonferenz,StructureDefinition/mii-pr-onko-asa-klassifikation,StructureDefinition/mii-pr-onko-krk-anastomoseninsuffizienz,StructureDefinition/mii-pr-onko-tnm-t-kategorie,StructureDefinition/mii-pr-onko-melanom-ldh,StructureDefinition/mii-pr-onko-tnm-n-kategorie,StructureDefinition/mii-pr-onko-krk-mrt-mesorektale-faszie,StructureDefinition/mii-pr-onko-prostate-clavien-dindo,StructureDefinition/mii-pr-onko-tod,StructureDefinition/mii-pr-onko-mamma-menopause-status,StructureDefinition/mii-pr-onko-krk-specimen,StructureDefinition/mii-pr-onko-studienteilnahme,StructureDefinition/mii-pr-onko-krk-operation,StructureDefinition/mii-pr-onko-diagnose-primaertumor,StructureDefinition/mii-pr-onko-therapieempfehlung-medikation,StructureDefinition/mii-pr-onko-mamma-her2neu-status,StructureDefinition/mii-pr-onko-genetische-variante,StructureDefinition/mii-pr-onko-therapieempfehlung-operation,StructureDefinition/mii-pr-onko-verlauf,StructureDefinition/mii-pr-onko-tnm-y-symbol,StructureDefinition/mii-pr-onko-fernmetastasen,StructureDefinition/mii-pr-onko-tnm-s-kategorie,StructureDefinition/mii-pr-onko-therapieempfehlung-kombinationstherapie,StructureDefinition/mii-pr-onko-tnm-klassifikation,StructureDefinition/mii-pr-onko-prostate-ca-befall-stanze,StructureDefinition/mii-pr-onko-weitere-klassifikationen,StructureDefinition/mii-pr-onko-prostate-gleason-patterns,StructureDefinition/mii-pr-onko-nebenwirkung-adverse-event,StructureDefinition/mii-pr-onko-tnm-r-symbol,StructureDefinition/mii-pr-onko-liste-evidenz-erstdiagnose,StructureDefinition/mii-pr-onko-anzahl-untersuchte-lymphknoten,StructureDefinition/mii-pr-onko-strahlentherapie-bestrahlung-strahlentherapie,StructureDefinition/mii-pr-onko-melanom-sicherheitsabstand,StructureDefinition/mii-pr-onko-tnm-m-symbol,StructureDefinition/mii-pr-onko-allgemeiner-leistungszustand-karnofsky,StructureDefinition/mii-pr-onko-strahlentherapie,StructureDefinition/mii-pr-onko-befund,StructureDefinition/mii-pr-onko-prostate-gleason-score-gesamt,StructureDefinition/mii-pr-onko-fruehere-tumorerkrankung,StructureDefinition/mii-pr-onko-tnm-klassifikation-synthetisiert,StructureDefinition/mii-pr-onko-grading,StructureDefinition/mii-pr-onko-histologie-icdo3,StructureDefinition/mii-pr-onko-tumorgroesse,StructureDefinition/mii-pr-onko-residualstatus,StructureDefinition/mii-pr-onko-mamma-rezeptorstatus-estrogen,StructureDefinition/mii-pr-onko-tnm-l-kategorie,StructureDefinition/mii-pr-onko-prostate-anzahl-positive-stanzen,StructureDefinition/mii-pr-onko-prostate-anzahl-stanzen,StructureDefinition/mii-pr-onko-melanom-exzision,StructureDefinition/mii-pr-onko-anzahl-untersuchte-sentinel-lymphknoten,StructureDefinition/mii-pr-onko-tnm-v-kategorie","THO"
